LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

463 1  0.000 1503.831 3161.418
464 1  0.038 420.038 1142.759
465 1  403.245 512.468 881.148
466 1  553.966 425.704 567.372
467 1  973.856 1024.537 316.746
468 1  2668.418 3115.700 434.566
469 1  421.095 1327.711 1303.072
470 1  268.227 2867.429 2878.985
471 1  923.288 807.943 1084.404
472 1  873.636 448.354 893.909
473 1  1026.451 355.506 532.196
474 1  419.427 346.257 1.530
475 1  1394.372 237.652 1153.457
476 1  449.048 2271.188 3103.101
477 1  334.298 1415.117 1504.543
478 1  477.580 824.257 768.358
479 1  791.501 155.519 724.051
480 1  474.949 1225.038 1102.741
481 1  1180.918 1029.450 384.196
482 1  1545.723 2024.208 540.857
483 1  790.784 799.864 0.000
484 1  942.095 1840.689 909.131
485 1  3210.220 2335.372 614.588
486 1  577.859 2347.078 1090.251
487 1  3652.353 2291.297 20.931
488 1  293.988 296.665 295.781
489 1  801.863 940.928 2050.136
490 1  0.000 1114.758 1351.830
491 1  243.430 878.462 0.000
492 1  45.940 17.231 1015.976
493 1  1181.914 875.386 38.836
494 1  0.000 1524.826 376.395
495 1  4012.274 2457.602 151.123
496 1  1.667 5999.997 1.107
497 1  2404.042 4984.446 819.798
498 1  1213.893 245.725 2173.829
499 1  0.092 3008.921 775.542
500 1  336.220 177.663 996.274
501 2  2346.445 146.598 4078.899
502 2  4639.202 2579.466 2922.915
503 2  1751.956 4475.942 2025.512
504 2  2.155 3898.384 3636.445
505 2  1916.318 947.855 31.145
506 2  674.225 10.139 2.676
507 2  1683.806 1187.279 3109.271
508 2  1483.104 4577.374 3217.203
509 2  1181.442 2543.902 2618.682
510 2  5.867 3902.287 5963.966
511 2  2068.770 5230.776 2478.643
512 2  4.196 5108.142 5.383
513 2  5997.754 4518.046 14.667
514 2  5146.864 5999.730 5996.467
515 2  4.593 5944.580 2713.863
516 2  2772.457 312.083 5782.773
517 2  3144.435 2751.627 1419.757
518 2  4938.976 5999.650 200.744
519 2  2556.927 3.640 5994.609
520 2  5995.719 3421.605 5995.924
521 2  5581.498 4395.852 275.547
522 2  1876.864 3569.643 3392.083
523 2  3559.846 4573.902 1413.784
524 2  4707.449 5998.070 3569.579
525 2  3.731 2742.380 4158.201
526 2  1.622 1842.063 1384.607
527 2  5211.480 3230.302 1174.348
528 2  4.848 0.238 5997.219
529 2  2852.945 5996.783 3109.561
530 2  5999.539 3745.007 5996.314
531 2  4704.848 1.189 0.475
532 2  2.760 3.047 2875.349
533 2  1270.919 3154.698 166.046
534 2  5864.311 5925.878 5921.302
535 2  686.131 0.000 2469.565
536 2  1476.476 3223.284 0.000
537 2  2653.637 0.000 3999.050
538 2  6000.000 6000.000 3041.234
539 2  596.533 933.760 2913.399
540 2  5999.999 3702.585 4679.511
541 2  4488.331 3359.720 1009.667
542 2  3355.627 4414.429 4343.506
543 2  2818.481 1110.040 1051.072
544 2  3280.952 351.709 328.461
545 2  120.932 141.862 3337.756
546 2  1595.623 6000.000 3373.816
547 2  1979.017 539.703 84.945
548 2  0.000 2857.553 148.896
549 2  1307.941 2435.250 0.000
550 2  166.848 1939.654 1191.033
551 2  3453.696 8.830 16.939
552 2  2751.528 0.000 1383.974
553 2  1050.146 459.641 159.373
554 2  5404.309 576.091 5243.850
555 2  1405.683 0.000 5173.636
556 2  1440.724 3393.658 3456.402
557 2  1816.840 1428.063 326.142
558 2  1670.714 1715.915 102.588
559 2  3924.199 7.883 5994.460
560 2  1535.203 1497.406 446.051
561 2  6000.000 5371.823 2662.582
562 2  1376.963 69.415 5703.616
563 2  2778.425 3328.024 0.000
564 2  1817.016 1292.130 1326.706
565 2  219.533 445.774 652.408
566 2  1931.210 798.530 663.004
567 2  2133.091 4342.443 3701.911
568 2  2672.409 366.293 4662.410
569 2  1919.270 5500.312 3395.274
570 2  5709.529 1901.330 692.021
571 2  176.001 977.569 1348.783
572 2  889.642 197.257 1173.105
573 2  1059.290 339.730 2193.256
574 2  1080.556 1646.931 944.961
575 2  2474.133 3387.338 3725.253
576 2  1434.551 4453.022 2738.253
577 2  1009.918 3633.495 1848.625
578 2  0.000 844.078 587.307
579 2  745.879 0.320 1268.543
580 2  1362.758 455.631 563.404
581 2  2657.740 1734.263 4238.941
582 2  1516.007 707.553 357.673
583 2  548.295 1331.470 1018.552
584 2  5136.645 18.776 13.384
585 2  1387.157 944.023 0.000
586 2  369.499 802.983 133.239
587 2  208.656 809.851 1244.730
588 2  280.409 332.348 1248.673
589 2  1240.240 1148.509 2014.561
590 2  2774.007 985.606 732.238
591 2  268.125 1169.409 166.658
592 2  1024.915 1482.269 1190.414
593 2  296.502 1269.885 701.527
594 2  1270.464 152.611 1195.644
595 2  879.103 175.711 1567.263
596 2  1170.427 896.340 807.178
597 2  1557.921 488.052 1848.247
598 2  1574.724 529.624 156.847
599 2  324.416 113.725 1472.368
600 2  3228.780 2530.896 2017.305
601 2  483.704 362.993 855.624
602 2  409.564 109.680 0.052
603 2  2088.760 0.000 3249.692
604 2  783.510 2336.261 1506.905
605 2  1788.524 852.780 430.202
606 2  2172.140 1990.880 1931.031
607 2  2244.153 1458.311 3893.948
608 2  1394.385 530.459 1022.462
609 2  2663.528 0.000 1610.757
610 2  1913.426 4034.973 1828.875
611 2  1287.676 402.878 196.472
612 2  1179.195 651.274 3.216
613 2  3929.616 3848.974 5950.591
614 2  10.632 1345.691 193.826
615 2  986.054 592.611 1245.769
616 2  719.791 3872.409 207.013
617 2  1520.722 525.525 659.864
618 2  1352.619 2889.747 1892.034
619 2  634.446 1861.912 867.667
620 2  3516.802 3736.836 1444.018
621 2  1131.914 5894.117 898.145
622 2  1414.979 5316.549 3599.021
623 2  4167.666 1525.471 4721.537
624 2  210.788 775.813 1619.744
625 2  1486.785 804.895 680.588
626 2  623.884 283.360 968.896
627 2  189.434 86.547 5999.636
628 2  1592.509 379.908 979.294
629 2  82.207 2084.496 1387.672
630 2  2083.217 547.273 553.742
631 2  314.737 1409.886 1236.180
632 2  1296.938 673.463 1110.155
633 2  140.903 321.194 249.531
634 2  96.988 436.299 1960.068
635 2  873.560 4349.807 602.555
636 2  3817.397 3056.826 0.000
637 2  1209.167 623.292 190.175
638 2  1418.624 251.720 406.027
639 2  365.708 0.000 170.627
640 2  5266.990 2422.055 2036.116
641 2  4531.362 3052.722 5830.981
642 2  270.113 288.322 1459.524
643 2  0.000 856.723 765.883
644 2  1289.742 1280.208 678.868
645 2  827.549 70.506 2406.661
646 2  1201.549 562.549 522.660
647 2  38.408 5956.750 5974.446
648 2  10.011 1566.439 242.905
649 2  894.622 1279.388 835.168
650 2  4112.700 2607.378 1.570
651 2  0.000 2629.283 3368.534
652 2  1556.075 418.702 457.904
653 2  906.197 1560.530 1663.273
654 2  157.531 1426.930 729.780
655 2  193.600 1863.471 8.996
656 2  2707.717 379.614 753.764
657 2  897.475 132.614 963.631
658 2  1166.044 1339.623 302.618
659 2  1616.413 240.199 307.894
660 2  480.405 940.651 423.024
661 2  1157.888 4.590 503.180
662 2  540.412 1418.986 840.152
663 2  1419.617 1892.065 734.877
664 2  815.457 1394.639 354.136
665 2  1052.092 1449.226 986.036
666 2  1178.050 223.745 269.733
667 2  995.909 0.000 807.082
668 2  2279.620 1122.550 1111.467
669 2  230.920 1057.880 293.021
670 2  1196.328 78.912 124.478
671 2  915.939 348.445 220.114
672 2  5997.039 4220.921 4295.541
673 2  527.523 158.107 202.942
674 2  693.796 193.957 182.294
675 2  12.316 600.822 1626.093
676 2  1309.267 1185.886 845.831
677 2  3324.998 0.000 5293.862
678 2  553.737 340.973 1207.899
679 2  244.267 413.675 971.043
680 2  0.000 3221.367 268.580
681 2  646.252 961.532 515.509
682 2  0.000 813.184 1570.728
683 2  1238.770 282.744 703.385
684 2  374.155 1570.578 1324.357
685 2  528.295 0.000 2160.750
686 2  792.708 5052.574 2612.088
687 2  0.000 1501.697 1936.856
688 2  373.010 1613.151 769.386
